"Acme French Baguette & Butter","Freshly baked French baguette from Acme Bread Company, with a crispy crust and soft, warm interior; Served with creamy butter for a delightful balance of flavors."
"Soup of the Day","Chef’s daily selection of freshly prepared soup, made with seasonal ingredients and bold flavors to warm and satisfy."
"French Onion Soup","Classic French soup made with slow-cooked caramelized onions and rich beef broth, topped with melted cheese and crispy croutons for a savory experience."
"Baked Camembert, Roasted Garlic, Toast Points","Warm, velvety Camembert cheese paired with roasted garlic and served with crisp toast points, offering a creamy, slightly tangy combination."
"Escargots de Bourgogne, Parsley, Garlic Butter","Traditional Burgundy-style snails, baked in a flavorful mixture of parsley, garlic, and butter, offering a delicate and aromatic taste."
"Assiette de Merguez (Spicy Lamb Sausage) with Harissa","A plate of spicy North African lamb sausages served with harissa, a hot chili pepper paste that adds depth and heat to the rich sausage flavor."
"Beef Tartare, Dijon Mustard, Capers, Shallots, Quail Egg, Toast Points","Finely chopped raw beef mixed with tangy Dijon mustard, briny capers, and aromatic shallots, topped with a quail egg yolk for richness and served with crispy toast points."
"Organic Greens, Pears, Sherry Vinaigrette","Fresh organic mixed greens paired with ripe, sweet pears and dressed with a tangy sherry vinaigrette for a light and refreshing salad."
"Warm Goat Cheese, Arugula, Cipollini Onions, Balsamic Vinaigrette","Creamy, warm goat cheese atop peppery arugula, sweet cipollini onions, and drizzled with a rich balsamic vinaigrette for a perfect balance of savory and sweet."
"Caesar, Parmesan Cheese, Croutons, Anchovies","A classic Caesar salad featuring crisp romaine lettuce, shaved Parmesan, crunchy croutons, and optional anchovies for a deep, umami-rich flavor."
"Endives, Pears, Walnuts, Roquefort Cheese, Caramel Balsamic Vinaigrette","Crisp endive leaves paired with sweet pears, toasted walnuts, and crumbled Roquefort cheese, tossed in a caramel balsamic vinaigrette for an indulgent salad."
"Niçoise: Seared Ahi Tuna or Salmon","Choice of seared ahi tuna or salmon, accompanied by olives, bell peppers, green beans, potatoes, hard-boiled eggs, tomatoes, artichoke hearts, and radishes, dressed with whole grain mustard and sherry vinaigrette for a satisfying, protein-packed dish."
